nom,prix,adresse,image_lien
Femelle pitbull,120000.0,"Bargny, Sénégal",https://images.coinafrique.com/thumb_2555833_uploaded_image1_1597802491.jpg
Canish,250000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2551556_uploaded_image1_1597687758.jpg
Chiots berger allemand,250000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2541838_uploaded_image1_1597368796.jpg
Chiots shih tzu,250000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg
Chiot Berger Allemand,150000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2535190_uploaded_image1_1597184067.jpg
Chiot berger malinois,250000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_2534330_uploaded_image1_1597162093.jpg
Chien chiwawa,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2533324_uploaded_image1_1597146281.jpg
Chiots Rottweiler,300000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2528100_uploaded_image1_1597008492.jpg
Berger allemand,175000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_2508974_uploaded_image1_1596479158.jpg
Chiens  Berger allemand,200000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2482151_uploaded_image1_1595683430.jpg
Yorkshire toy femelle,750000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2466136_uploaded_image1_1595344530.jpg
Chiots Bichons Maltais,195000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2460286_uploaded_image1_1595235680.jpg
Chiots Malinois,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2457699_uploaded_image1_1595163103.jpg
Chiots,300000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2452744_uploaded_image1_1595018955.jpg
Chiots bichons,200000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2443734_uploaded_image1_1594839124.jpg
Chiots malinois,250000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2441977_uploaded_image1_1594815579.jpg
Malinois pur sang,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2425090_uploaded_image1_1594426421.jpg
