nom,prix,adresse,image_lien
Mouton,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2931779_uploaded_image1_1612447964.jpg
Moutons,200000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2931611_uploaded_image1_1612443667.jpg
Mouton,300000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2929533_uploaded_image1_1612364591.jpg
Moutons,250000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2923628_uploaded_image1_1612181597.jpg
Mouton  Ladoum,1500000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2923489_uploaded_image1_1612179015.jpg
Mouton,250000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2922356_uploaded_image1_1612126358.jpg
Bélier azawak,300000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2920865_uploaded_image1_1612027206.jpg
Mouton,130000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2907814_uploaded_image1_1611412258.jpg
Chèvre,50000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2897354_uploaded_image1_1610964651.jpg
Mouton Azawat,250000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2885448_uploaded_image1_1610450831.jpg
Mouton Azawat,250000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2885428_uploaded_image1_1610450476.jpg
Moto assawat,175.0,"Kayar, Sénégal",https://images.coinafrique.com/thumb_2882279_uploaded_image1_1610319596.jpg
Mouton Ladoum,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2873055_uploaded_image1_1609937413.jpg
Moutons Ladoum,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2872968_uploaded_image1_1609935438.jpg
Mouton Azawate,300000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_2860328_uploaded_image1_1609342630.jpg
Moutons,2000000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2858185_uploaded_image1_1609240683.jpg
Mouton ladoum,700000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2841419_uploaded_image1_1608390405.jpg
Mouton,200000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2840303_uploaded_image1_1608327135.jpg
Mouton Ladoum,475000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_2836401_uploaded_image1_1608196450.jpg
Moutons,650000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2829249_uploaded_image1_1607913189.jpg
Mouton mâle fils - pur sang,600000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2811883_uploaded_image1_1607200860.jpg
Mouton Ladoum,8500000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_2796870_uploaded_image1_1606736518.jpg
Mouton Ladoum,750.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2795953_uploaded_image1_1606693358.jpg
