web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1766752681-1","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Boerboel","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2557147_uploaded_image1_1597839325.jpg"
"1766752681-2","https://sn.coinafrique.com/categorie/chiens?page=10","Femelle pitbull","120 000CFA","Bargny, Sénégal","https://images.coinafrique.com/thumb_2555833_uploaded_image1_1597802491.jpg"
"1766752681-3","https://sn.coinafrique.com/categorie/chiens?page=10","Canish","250 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2551556_uploaded_image1_1597687758.jpg"
"1766752681-4","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2544486_uploaded_image1_1597452357.jpg"
"1766752681-5","https://sn.coinafrique.com/categorie/chiens?page=10","Belger allemand","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2544470_uploaded_image1_1597451496.jpg"
"1766752681-6","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger allemand","250 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2541838_uploaded_image1_1597368796.jpg"
"1766752681-7","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots shih tzu","250 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg"
"1766752681-8","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","150 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2535190_uploaded_image1_1597184067.jpg"
"1766752681-9","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger malinois","250 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_2534330_uploaded_image1_1597162093.jpg"
"1766752681-10","https://sn.coinafrique.com/categorie/chiens?page=10","Chien chiwawa","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2533324_uploaded_image1_1597146281.jpg"
"1766752681-11","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","300 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2528100_uploaded_image1_1597008492.jpg"
"1766752681-12","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","175 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2508974_uploaded_image1_1596479158.jpg"
"1766752681-13","https://sn.coinafrique.com/categorie/chiens?page=10","Chiens  Berger allemand","200 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482151_uploaded_image1_1595683430.jpg"
"1766752681-14","https://sn.coinafrique.com/categorie/chiens?page=10","Yorkshire toy femelle","750 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2466136_uploaded_image1_1595344530.jpg"
"1766752681-15","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bichons Maltais","195 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2460286_uploaded_image1_1595235680.jpg"
"1766752681-16","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Malinois","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2457699_uploaded_image1_1595163103.jpg"
"1766752681-17","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2452744_uploaded_image1_1595018955.jpg"
"1766752681-18","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots bichons","200 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443734_uploaded_image1_1594839124.jpg"
"1766752681-19","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots malinois","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441977_uploaded_image1_1594815579.jpg"
"1766752681-20","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois pur sang","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2425090_uploaded_image1_1594426421.jpg"
"1766752681-21","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Caniche","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2417666_uploaded_image2_1594290464.jpeg"
"1766752681-22","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2374457_uploaded_image1_1593588468.jpg"
"1766752681-23","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot yorkie","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2373725_uploaded_image1_1593562231.jpg"
"1766752681-24","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2354463_uploaded_image1_1593244171.jpg"
"1766752681-25","https://sn.coinafrique.com/categorie/chiens?page=10","Chien berger malinois","150 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2331869_uploaded_image1_1592905487.jpg"
"1766752681-26","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bichons","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2324363_uploaded_image1_1592781561.jpg"
"1766752681-27","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","240 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2308946_uploaded_image1_1592507915.jpg"
"1766752681-28","https://sn.coinafrique.com/categorie/chiens?page=10","Berger Allemand femelle","250 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2300480_uploaded_image1_1592400668.jpg"
"1766752681-29","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2299686_uploaded_image1_1592393679.jpg"
"1766752681-30","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger","160 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2277897_uploaded_image1_1592046957.jpg"
"1766752681-31","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger blanc","170 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2250259_uploaded_image1_1591646066.jpg"
"1766752681-32","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger belge malinois","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2244294_uploaded_image1_1591560490.jpg"
"1766752681-33","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger allemand","175 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2230488_uploaded_image1_1591320628.jpg"
"1766752681-34","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand pur sang","150 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg"
"1766752681-35","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand pure sang","150 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217466_uploaded_image1_1591135619.jpg"
"1766752681-36","https://sn.coinafrique.com/categorie/chiens?page=10","Berger blanc suisse","150 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2211811_uploaded_image1_1591059036.jpg"
"1766752681-37","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","65 000CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg"
"1766752681-38","https://sn.coinafrique.com/categorie/chiens?page=10","Bichons","350 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2181152_uploaded_image1_1590585289.jpg"
"1766752681-39","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155097_uploaded_image1_1590127308.jpg"
"1766752681-40","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Yorkie_Chon","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2151616_uploaded_image1_1592169330.jpg"
"1766752681-41","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2151223_uploaded_image1_1590064972.jpg"
"1766752681-42","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots rockweile","290 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2119461_uploaded_image1_1589565559.jpg"
"1766752681-43","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Yorkshire/caniche","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2107633_uploaded_image1_1589392557.jpg"
"1766752681-44","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Amstaff","130 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2082208_uploaded_image1_1588983812.jpg"
"1766752681-45","https://sn.coinafrique.com/categorie/chiens?page=10","Berger malinois charboné","300 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg"
"1766752681-46","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Can Corso","300 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg"
"1766752681-47","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg"
"1766752681-48","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2047517_uploaded_image1_1588470753.jpg"
"1766752681-49","https://sn.coinafrique.com/categorie/chiens?page=10","Femelles  métisse rock / 4 chiennes","50 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg"
"1766752681-50","https://sn.coinafrique.com/categorie/chiens?page=10","CHiots Pitbull","90 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1959031_uploaded_image1_1587075773.91.jpeg"
"1766752681-51","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1940073_uploaded_image1_1586802159.93.png"
"1766752681-52","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1940062_uploaded_image1_1586802060.81.png"
"1766752681-53","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Labrador","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935397_uploaded_image1_1586726397.65.png"
"1766752681-54","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot boxer","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935386_uploaded_image1_1586726128.5.png"
"1766752681-55","https://sn.coinafrique.com/categorie/chiens?page=10","Chiens Malinois","300 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1904735_uploaded_image1_1586214527.85.png"
"1766752681-56","https://sn.coinafrique.com/categorie/chiens?page=10","Métisse chiots rottweiler","50 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png"
"1766752681-57","https://sn.coinafrique.com/categorie/chiens?page=10","Labrador","200 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1869479_uploaded_image1_1585587706.8.png"
"1766752681-58","https://sn.coinafrique.com/categorie/chiens?page=10","Bulldog anglais","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862159_uploaded_image1_1585460332.93.png"
"1766752681-59","https://sn.coinafrique.com/categorie/chiens?page=10","Femelle dogue de Bordeaux","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862155_uploaded_image1_1585460203.94.png"
"1766752681-60","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Dogue allemand","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862148_uploaded_image1_1585459981.26.png"
"1766752681-61","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots pékinois pure race","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862142_uploaded_image1_1585459853.32.png"
"1766752681-62","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Shiba inu","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862112_uploaded_image1_1585456241.69.png"
"1766752681-63","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Spitz nain pomeranian","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862107_uploaded_image1_1585455904.62.png"
"1766752681-64","https://sn.coinafrique.com/categorie/chiens?page=10","Caniches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1840583_uploaded_image1_1585048857.01.png"
"1766752681-65","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Dogue Allemand","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png"
"1766752681-66","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman pure souche","350 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png"
"1766752681-67","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Bichon","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_1733519_uploaded_image2_1583168047.85.png"
"1766752681-68","https://sn.coinafrique.com/categorie/chiens?page=10","Cani corso","600 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png"
"1766752681-69","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger belge malinois","175 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png"
"1766752681-70","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png"
"1766752681-71","https://sn.coinafrique.com/categorie/chiens?page=10","Pékinois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592664_uploaded_image1_1580822577.52.png"
"1766752681-72","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman lignée européenne","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592645_uploaded_image1_1580822366.65.png"
"1766752681-73","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz pomperanian nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592536_uploaded_image1_1580821182.56.png"
"1766752681-74","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Spitz nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1571895_uploaded_image1_1580477105.7.png"
"1766752681-75","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Hight quality husky Sibérien","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1568103_uploaded_image1_1580413061.76.png"
"1766752681-76","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots akita américain","990 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png"
"1766752681-77","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1502366_uploaded_image1_1579392503.84.png"
"1766752681-78","https://sn.coinafrique.com/categorie/chiens?page=10","Caniches","100 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1502318_uploaded_image1_1579389696.6.png"
"1766752681-79","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1502314_uploaded_image1_1579389662.11.png"
"1766752681-80","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots husky sibérien - dog argentin - cane corso","350 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png"
"1766752681-81","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz nain","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1766752681-82","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Chowchow","990 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1444195_uploaded_image1_1578452519.81.png"
"1766752681-83","https://sn.coinafrique.com/categorie/chiens?page=10","Bebé Lhasa Apso","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_1426072_uploaded_image1_1578142225.59.png"
