web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1766753075-1","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2931779_uploaded_image1_1612447964.jpg"
"1766753075-2","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","200 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2931611_uploaded_image1_1612443667.jpg"
"1766753075-3","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2929533_uploaded_image1_1612364591.jpg"
"1766753075-4","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2929439_uploaded_image1_1612362372.jpg"
"1766753075-5","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","250 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2923628_uploaded_image1_1612181597.jpg"
"1766753075-6","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton  Ladoum","1 500 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2923489_uploaded_image1_1612179015.jpg"
"1766753075-7","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2922361_uploaded_image1_1612126538.jpg"
"1766753075-8","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","250 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2922356_uploaded_image1_1612126358.jpg"
"1766753075-9","https://sn.coinafrique.com/categorie/moutons?page=10","Bélier azawak","300 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2920865_uploaded_image1_1612027206.jpg"
"1766753075-10","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","130 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2907814_uploaded_image1_1611412258.jpg"
"1766753075-11","https://sn.coinafrique.com/categorie/moutons?page=10","Chèvre","50 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2897354_uploaded_image1_1610964651.jpg"
"1766753075-12","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Azawat","250 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2885448_uploaded_image1_1610450831.jpg"
"1766753075-13","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Azawat","250 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2885428_uploaded_image1_1610450476.jpg"
"1766753075-14","https://sn.coinafrique.com/categorie/moutons?page=10","Moto assawat","175CFA","Kayar, Sénégal","https://images.coinafrique.com/thumb_2882279_uploaded_image1_1610319596.jpg"
"1766753075-15","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","400 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2873055_uploaded_image1_1609937413.jpg"
"1766753075-16","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons Ladoum","400 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2872968_uploaded_image1_1609935438.jpg"
"1766753075-17","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2861975_uploaded_image1_1609448682.jpg"
"1766753075-18","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Azawate","300 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2860328_uploaded_image1_1609342630.jpg"
"1766753075-19","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","2 000 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2858185_uploaded_image1_1609240683.jpg"
"1766753075-20","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2845558_uploaded_image1_1608579631.jpg"
"1766753075-21","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2845111_uploaded_image1_1608564436.jpg"
"1766753075-22","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton ladoum","700 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2841419_uploaded_image1_1608390405.jpg"
"1766753075-23","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","200 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2840303_uploaded_image1_1608327135.jpg"
"1766753075-24","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","475 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_2836401_uploaded_image1_1608196450.jpg"
"1766753075-25","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","650 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2829249_uploaded_image1_1607913189.jpg"
"1766753075-26","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton mâle fils - pur sang","600 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2811883_uploaded_image1_1607200860.jpg"
"1766753075-27","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","8 500 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2796870_uploaded_image1_1606736518.jpg"
"1766753075-28","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","750CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2795953_uploaded_image1_1606693358.jpg"
"1766753075-29","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2795474_uploaded_image1_1606671417.jpg"
"1766753075-30","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","1 500 000CFA","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2789124_uploaded_image1_1606398488.jpg"
"1766753075-31","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton ladoum","1 000 000CFA","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2789110_uploaded_image1_1606398269.jpg"
"1766753075-32","https://sn.coinafrique.com/categorie/moutons?page=10","Femelles ladoum","275 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2781792_uploaded_image1_1606140774.jpg"
"1766753075-33","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","5 000 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2779632_uploaded_image1_1606050129.jpg"
"1766753075-34","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton femelle","765 809 243CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2765878_uploaded_image1_1605534943.jpg"
"1766753075-35","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2765872_uploaded_image1_1605534766.jpg"
"1766753075-36","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","425 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2746543_uploaded_image1_1604796778.jpg"
"1766753075-37","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","1 700 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_2736437_uploaded_image1_1604452585.jpg"
"1766753075-38","https://sn.coinafrique.com/categorie/moutons?page=10","Couple mouton","1 750 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2735771_uploaded_image1_1604430779.jpg"
"1766753075-39","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoume","Prix sur demande","Kaolack, Sénégal","https://images.coinafrique.com/thumb_2735067_uploaded_image1_1604415926.jpg"
"1766753075-40","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoume couple","1 750 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2735066_uploaded_image1_1604415830.jpg"
"1766753075-41","https://sn.coinafrique.com/categorie/moutons?page=10","Ladoum pur sang","Prix sur demande","Louga, Sénégal","https://images.coinafrique.com/thumb_2723147_uploaded_image1_1603885095.jpg"
"1766753075-42","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","2 500 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2705668_uploaded_image1_1603132464.jpg"
"1766753075-43","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum Pur sang","750 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2704105_uploaded_image1_1603067046.jpg"
"1766753075-44","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum pur sang","400CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2703872_uploaded_image1_1603056630.jpg"
"1766753075-45","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Anaux","400 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2675861_uploaded_image1_1601992787.jpg"
"1766753075-46","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","850 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2671650_uploaded_image1_1601824346.jpg"
"1766753075-47","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","450 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2671636_uploaded_image1_1601823931.jpg"
"1766753075-48","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton femelle ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2671562_uploaded_image1_1601821270.jpg"
"1766753075-49","https://sn.coinafrique.com/categorie/moutons?page=10","Ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2671460_uploaded_image1_1601819030.jpg"
"1766753075-50","https://sn.coinafrique.com/categorie/moutons?page=10","Ladoum","2 000 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2671450_uploaded_image1_1601818687.jpg"
"1766753075-51","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton ladoum","450 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2667623_uploaded_image1_1601667628.jpg"
"1766753075-52","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","500 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_2665289_uploaded_image1_1601598363.jpg"
