web_scraper_order,web_scraper_start_url,link,prix,adresse,image_lien,details
"1766770587-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213","70 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1291213_uploaded_image1_1575425609.27.png","Je suis un éleveur de lapin de race"
"1766770590-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215","70 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1291215_uploaded_image1_1575425694.27.png","Lapins de race à vendre en bonne santé"
"1766770595-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1346036_uploaded_image1_1576462750.49.png","Nous vendons des dindes ; colvert ; canard ; pigeons ; poulet local etc....
Veillez me contacter pour plus d'information  merci"
"1766770600-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452","240CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1365452_uploaded_image1_1576790350.48.png","Des œufs fécondés de qualité, pour des poussins en bonne santé.
Nous produisons des œufs fécondés de Ross 308. 
Les poulet de chairs.
Notre stock est toujours disponible. 
Nous livrons dans 3 jours après la validation de votre commande 
Nous livrons minimum une palette qui contient 8640 œufs. 
NB: si vous avez besoin plus d'informations ou d'un incubateur n'hésitez pas à nous contacter."
"1766770602-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870","60 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png","Trio bantam de pékin (male noir femele noir et gris)"
"1766770604-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899","50 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415899_uploaded_image1_1577916626.18.png","Couple brahmane adulte"
"1766770607-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1417714_uploaded_image1_1577970779.66.png","Baramane de race"
"1766770610-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855","15 000CFA","Sénégal","https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png","Des poussins hermines sont disponible sur prix
Merci"
"1766770612-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888","35 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1461888_uploaded_image1_1578719186.99.png","Une mâle de poule de race baraman à vendre"
"1766770615-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png","Des males de bantam de pékin à vendre à un prix abordable"
"1766770617-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236","40 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1521236_uploaded_image1_1579695858.03.png","Un mâle de race baraman disponible"
"1766770619-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1577201_uploaded_image1_1580561085.8.png","Couple cochin adulte(male et une femele coucou)"
